client,config,latency_ms
Besu,Baseline,408.215284
Besu,Baseline,52.329302
Besu,Baseline,74.430466
Besu,Baseline,393.682957
Besu,Baseline,87.916613
Besu,Baseline,484.512329
Besu,Baseline,147.60232
Besu,Baseline,38.019657
Besu,Baseline,199.537277
Besu,Baseline,105.563879
Besu,Baseline,90.812445
Besu,Baseline,212.800026
Besu,Baseline,107.393265
Besu,Baseline,106.947184
Besu,Baseline,138.039589
Besu,Baseline,532.792568
Besu,Baseline,111.50074
Besu,Baseline,27.245522
Besu,Baseline,54.703236
Besu,Baseline,77.378273
Besu,Baseline,661.245108
Besu,Baseline,41.203737
Besu,Baseline,124.63069
Besu,Baseline,123.199224
Besu,Baseline,24.061918
Besu,Baseline,90.158939
Besu,Baseline,374.990225
Besu,Baseline,243.324518
Besu,Baseline,89.249372
Besu,Baseline,120.285749
Besu,Baseline,59.32188
Besu,Baseline,430.464745
Besu,Baseline,52.977562
Besu,Baseline,34.559727
Besu,Baseline,643.995762
Besu,Baseline,234.828711
Besu,Baseline,42.737484
Besu,Baseline,260.855198
Besu,Baseline,392.376661
Besu,Baseline,164.036989
Besu,Baseline,195.263147
Besu,Baseline,42.503357
Besu,Baseline,100.396872
Besu,Baseline,157.527685
Besu,Baseline,157.371759
Besu,Baseline,183.200121
Besu,Baseline,286.10158
Besu,Baseline,153.017759
Besu,Baseline,118.555784
Besu,Baseline,236.315727
Besu,Baseline,239.697695
Besu,Baseline,94.551802
Besu,Baseline,94.110012
Besu,Baseline,135.772228
Besu,Baseline,86.664915
Besu,Baseline,170.357943
Besu,Baseline,322.117805
Besu,Baseline,135.677576
Besu,Baseline,32.391548
Besu,Baseline,72.524071
Besu,Baseline,24.845123
Besu,Baseline,138.507843
Besu,Baseline,20.658493
Besu,Baseline,172.684669
Besu,Baseline,128.919363
Besu,Baseline,27.279854
Besu,Baseline,149.778366
Besu,Baseline,166.16559
Besu,Baseline,47.506809
Besu,Baseline,136.317015
Besu,Baseline,29.545069
Besu,Baseline,46.708345
Besu,Baseline,51.575661
Besu,Baseline,23.96059
Besu,Baseline,22.90678
Besu,Baseline,27.893066
Besu,Baseline,36.141872
Besu,Baseline,50.158978
Besu,Baseline,51.316738
Besu,Baseline,27.829885
Besu,Baseline,63.966513
Besu,Baseline,76.649904
Besu,Baseline,77.127934
Besu,Baseline,51.851988
Besu,Baseline,63.173771
Besu,Baseline,127.289057
Besu,Baseline,53.258657
Besu,Baseline,85.317135
Besu,Baseline,82.247734
Besu,Baseline,120.968819
Besu,Baseline,103.671789
Besu,Baseline,133.10647
